Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
38.7514,22.2191,3.1933,0.2666,0.1612,8.7684,38.9052,-10.5884,13.5898,113.666,g
25.0243,18.4051,2.5453,0.4672,0.2949,2.8213,-21.7414,-15.2108,29.556,141.123,g
24.8746,16.3143,2.6518,0.466,0.2375,7.8902,20.5957,14.1454,48.493,150.95,g
25.2958,9.4956,2.4401,0.5154,0.2813,5.6749,17.8278,7.2557,18.1924,181.397,g
13.3286,10.5157,2.1945,0.7923,0.4313,14.3543,4.3614,11.7594,76.331,189.484,g
18.0519,17.6171,2.1818,0.5395,0.2928,-0.4561,-15.8707,-13.4793,56.732,226.456,g
18.6221,16.9562,2.3149,0.4746,0.2542,12.3487,17.7186,11.8733,48.202,234.447,g
91.7756,29.917,3.0179,0.2294,0.1224,86.9593,74.6589,26.8484,2.4654,283.401,g
18.3119,14.9824,2.3865,0.5339,0.3142,-7.5793,16.6379,4.1417,74.772,135.392,g
27.0518,14.2138,2.4281,0.4104,0.222,24.2779,-19.4808,-5.2155,39.776,182.201,g
29.4141,18.504,2.9199,0.368,0.2351,21.2967,17.2504,14.7789,2.642,188.463,g
36.7334,19.1008,2.941,0.3562,0.1919,21.2301,6.8988,9.9665,21.5907,177.979,g
26.5153,12.6908,2.49,0.5146,0.2994,-5.7087,18.4502,-8.7745,0.4206,160.912,g
82.4735,24.709,3.1131,0.2328,0.1353,71.2477,77.3717,-8.1449,14.393,209.252,g
25.796,10.2902,2.3757,0.5011,0.2926,16.8423,18.8715,7.1083,36.4567,124.783,g
34.5681,20.4939,2.854,0.3695,0.2414,-2.9089,-30.5672,-15.4752,1.3098,253.423,g
46.4559,18.914,3.0592,0.2906,0.1802,27.0942,36.1971,15.6024,3.5737,194.254,g
36.0763,24.2552,3.0467,0.2551,0.128,6.2996,25.4849,-8.1573,4.6563,144.012,g
107.572,30.9831,3.7089,0.1562,0.0783,-95.35,65.5541,-23.4075,2.376,304.361,g
49.9108,18.041,2.8079,0.2786,0.1564,22.178,41.3432,10.3998,21.104,252.329,g
56.9252,15.7207,2.4786,0.309,0.1744,17.9687,35.6227,12.8131,11.2562,154.353,g
32.8146,16.7002,2.4401,0.3593,0.1797,23.9193,21.9391,-6.4868,15.0767,148.192,g
38.4475,14.7924,2.4456,0.4946,0.2993,18.1005,30.9733,-10.152,22.3126,94.833,g
60.8598,18.7033,2.6128,0.2561,0.1378,42.4917,33.7518,12.0692,4.182,146.803,g
20.1095,10.7264,2.5165,0.6575,0.3333,-24.0972,-11.2912,-9.9808,13.961,186.873,g
39.4987,14.016,2.7832,0.2949,0.1623,-40.7033,-20.7903,-7.1121,2.188,141.834,g
23.9993,10.9858,2.4141,0.5125,0.3064,12.0505,20.2358,5.8304,50.4126,200.284,g
85.6098,38.3701,3.5868,0.1906,0.0998,-17.6542,59.2655,30.7632,0.864,312.348,g
59.817,14.838,2.8808,0.3132,0.1678,-110.45,53.9825,12.1712,5.235,289.536,g
31.9332,26.6219,2.8645,0.3661,0.2029,17.7106,20.076,-11.752,49.979,85.3921,g
84.6878,25.0205,3.4849,0.2001,0.1275,-52.88,61.1816,13.1956,2.877,277.696,g
20.8003,9.5045,2.2405,0.6264,0.3764,-4.7991,15.6805,-10.5121,63.5975,131.829,g
21.4668,10.8687,2.2945,0.5635,0.3122,-21.4918,-19.2276,-10.5958,30.8438,186.608,g
42.6815,17.6534,2.8159,0.2872,0.1474,7.3513,38.7058,-6.9802,5.212,194.61,g
26.1561,19.8247,2.5139,0.4564,0.2404,-0.6801,25.9882,19.8894,49.5681,169.797,g
18.7977,15.7316,2.4241,0.5198,0.2731,-12.7123,-17.6937,-12.031,38.1018,57.3645,g
44.139,15.6641,2.9668,0.3195,0.1624,-16.4088,17.9199,-14.0171,8.553,201.125,g
27.0224,16.7469,2.6821,0.3555,0.1882,-12.7926,-22.4288,-13.123,0.812,262.182,g
23.5264,9.8446,2.3304,0.5561,0.3107,31.3933,-15.0454,-9.7726,11.2824,161.436,g
67.414,20.5669,2.7973,0.2504,0.1252,59.7928,49.9465,-15.957,2.6347,215.594,g
39.3646,16.0335,2.8055,0.3756,0.1886,15.5438,26.6207,-15.2482,19.4174,155.325,g
112.412,22.4074,2.9415,0.2551,0.1402,-70.2517,39.0389,15.2346,1.949,315.411,g
92.9014,26.8157,3.5101,0.2558,0.1608,-3.3896,33.3066,10.9488,0.0323,327.064,g
72.0234,19.0296,3.0482,0.213,0.1195,17.3633,-44.8008,-8.2389,1.133,243.839,g
18.0787,10.2187,2.4082,0.6523,0.3613,20.8493,11.8441,5.8978,24.1656,139.102,g
19.399,7.4377,2.1717,0.7407,0.4411,-1.2309,6.8109,4.5419,36.0106,93.6069,g
12.7287,11.6346,2.055,0.7137,0.3921,15.5636,-8.8394,9.6893,24.009,179.901,g
30.4034,19.9899,2.5635,0.3333,0.1735,10.5352,-14.8259,11.9969,52.828,142.683,g
23.7368,11.5514,2.4448,0.5925,0.4111,24.1505,16.2873,10.2465,30.194,181.687,g
33.9312,18.959,2.8142,0.3021,0.1664,24.8683,15.8333,-14.2404,9.6812,134.475,g
80.9042,27.99,3.5396,0.2052,0.1168,-44.7173,44.6066,16.671,1.267,316.669,g
63.3715,22.8596,3.0152,0.1999,0.1067,27.7348,42.5924,-12.7436,4.4256,252.271,g
18.8944,12.9798,2.3918,0.5152,0.2657,-15.1874,-6.8158,-5.1445,9.9795,199.053,g
94.8262,34.3604,3.6921,0.1908,0.0999,-44.6184,51.842,-15.2767,0.5894,353.536,g
117.986,11.2223,2.8248,0.4746,0.2597,-92.2538,-76.6361,2.6605,1.3389,388.998,g
16.4338,11.5765,2.233,0.5965,0.3129,-1.5906,5.9172,4.322,45.878,146.354,g
30.5986,10.799,2.5276,0.4273,0.2389,17.6776,-17.5384,9.6167,2.5729,184.855,g
19.8356,11.4295,2.4116,0.5891,0.3004,19.3867,19.0913,9.9913,24.926,130.39,g
104.297,17.7526,3.2418,0.3542,0.2221,-42.0413,70.7658,-17.2276,0.0253,319.606,g
52.1073,21.5885,3.1124,0.1999,0.1038,53.3714,26.7463,11.2178,3.056,240.989,g
31.031,18.0642,2.6325,0.3543,0.1946,44.2238,-9.3174,16.6029,37.32,202.205,g
53.0002,21.3824,3.0147,0.1808,0.0952,-46.8912,-30.2898,-16.574,1.103,198.089,g
42.134,18.3822,2.5933,0.3673,0.2079,34.5735,37.3944,-12.497,26.9644,162.403,g
19.6642,9.738,2.3541,0.5752,0.3119,24.7193,8.4885,3.7639,49.435,196.952,g
22.5561,6.4609,2.2055,0.7539,0.3832,-25.6665,-6.3922,-6.8247,3.9937,156.617,g
21.0987,10.6788,2.2068,0.5963,0.3012,5.3357,-17.2609,5.6009,22.874,217.377,g
20.4756,7.2082,2.0986,0.7331,0.3705,-2.8377,10.6201,-5.7243,68.1257,69.6409,g
28.6277,24.2951,2.9506,0.2611,0.1395,7.7134,-17.4477,7.502,76.584,89.9856,g
50.7517,25.7097,3.3698,0.1579,0.0792,29.4191,-13.981,14.7461,6.392,211.238,g
111.923,20.6943,2.8426,0.2457,0.1315,23.5205,122.498,-11.0316,3.3939,267.816,g
82.1714,29.0898,3.6005,0.1989,0.1178,-47.2642,63.5925,-23.7164,0.1989,293.883,g
39.196,15.1294,2.5051,0.3125,0.1641,10.1254,13.5262,-5.4373,14.662,228.967,g
102.852,40.6289,4.07,0.1013,0.0508,-85.3042,85.1624,-21.3136,3.708,245.047,g
32.5556,12.7421,2.527,0.3893,0.2244,18.6715,22.4613,3.236,1.1232,149.37,g
92.5361,17.7426,3.3242,0.1934,0.1064,82.0072,88.5214,12.4642,1.4849,269.446,g
18.9505,12.913,2.3334,0.4919,0.2668,-0.1723,4.1078,7.7879,6.2819,135.559,g
40.6745,23.9565,2.9353,0.2252,0.1155,19.7523,28.3861,-21.6694,46.5742,149.342,g
70.0322,30.2255,3.1573,0.1775,0.0929,-66.4032,48.4611,-24.9966,2.936,294.746,g
19.9388,12.6867,2.485,0.4615,0.2635,0.3023,-4.4867,9.6364,75.848,118.118,g
18.5085,11.5876,2.3979,0.68,0.414,11.9813,18.8142,-8.4055,85.9662,185.613,g
40.1306,26.8957,3.4173,0.189,0.0989,-5.2013,28.0616,11.2419,8.8138,114.802,g
33.528,21.3633,3.0671,0.2554,0.129,-25.1954,16.0213,-10.2241,2.3111,171.234,g
23.945,12.5218,2.3473,0.5663,0.3798,-10.3374,-15.0307,-12.5678,7.211,126.849,g
26.1461,14.5294,2.5079,0.4752,0.2593,25.42,24.9239,7.5687,11.047,101.836,g
15.7183,11.8468,2.2742,0.633,0.3644,-0.9802,3.5205,6.6075,16.332,161.059,g
46.7637,14.9414,2.7392,0.2753,0.1595,-20.3305,-34.7392,-8.7253,2.0311,175.065,g
42.8667,20.8577,2.954,0.2646,0.1662,21.8687,28.1173,10.4519,6.9302,157.559,g
53.3069,23.6018,3.028,0.3957,0.2518,-23.9009,22.5841,-23.6743,1.762,336.614,g
67.214,18.1793,2.8624,0.2457,0.1242,-80.9857,60.7061,16.8905,5.559,281.418,g
18.1043,14.3997,2.3664,0.5505,0.3634,-6.1228,15.6644,-7.1514,42.881,126.574,g
27.5202,16.582,2.5809,0.3675,0.1877,-6.1815,18.1638,12.4413,14.777,103.044,g
34.3377,16.1589,2.9941,0.2788,0.1414,14.7366,-13.8061,10.6127,0.811,196.852,g
24.1101,12.6731,2.6794,0.431,0.2249,-19.7791,-9.9872,7.6753,9.374,227.728,g
65.1513,29.9163,3.1392,0.2438,0.144,-41.3602,47.6741,-19.0741,17.772,323.143,g
20.47,19.9695,2.3086,0.457,0.2482,15.4241,19.5763,15.8197,63.4398,211.318,g
125.394,56.5926,4.339,0.0572,0.0295,147.398,114.295,11.9862,3.601,198.601,g
22.9886,13.3644,2.4158,0.4952,0.2937,-21.6987,-16.2021,8.7282,14.3483,191.331,g
53.1682,24.1071,3.2047,0.1673,0.0927,42.9302,-25.0112,10.0679,13.4803,175.324,g
112.635,31.147,2.9868,0.1918,0.1139,-117.267,89.9887,23.0827,17.724,277.313,g
83.534,39.6402,3.243,0.176,0.1043,71.0278,95.8359,34.8795,22.571,160.652,g
20.8003,12.4121,2.3107,0.489,0.2567,-27.1434,-10.3498,-9.8585,60.8343,159.605,g
21.479,13.6097,2.6042,0.4627,0.25,1.588,-11.4003,2.9769,25.464,166.195,g
60.0379,19.0161,3.0116,0.2736,0.1426,53.8969,43.8781,19.7272,4.4858,241.822,g
36.6722,17.6948,2.7462,0.3013,0.1677,15.5477,30.441,11.0262,2.1511,135.317,g
18.3905,18.1715,2.3493,0.4922,0.2573,16.5788,15.8702,11.6801,60.2553,96.2171,g
23.1363,13.5366,2.3627,0.4946,0.2538,-22.423,-16.104,-4.1679,3.438,108.319,g
12.8979,11.4031,2.1089,0.7393,0.3774,15.0476,-4.3601,11.7061,20.3136,62.7772,g
19.2924,7.2769,2.1508,0.7915,0.4276,4.7252,-10.7908,-3.89,68.7907,196.725,g
24.1417,18.2322,2.7853,0.3885,0.2287,3.201,-13.1804,3.5891,89.2231,80.7012,g
30.1917,13.4676,2.5459,0.4239,0.2233,-6.6315,-22.535,9.1162,0.296,209.665,g
36.8698,17.7978,2.7288,0.3361,0.1802,38.1599,30.7423,8.1883,4.412,146.661,g
40.1211,12.6981,2.5024,0.4057,0.206,-37.4845,21.9521,-6.2214,7.61,190.449,g
36.5576,21.8014,2.9263,0.2832,0.1712,-4.7287,24.7698,-15.9367,5.614,178.317,g
17.4898,11.0884,2.2355,0.5465,0.2762,0.457,-4.7921,-2.3262,40.779,206.502,g
